Country,Latte Price,Exchange Rate,PPP Exchange Rate (USD),Currency Valuation
australia,6.88,1.57,1.4700854700854702,Undervalued
brazil,16.86,5.69,3.6025641025641026,Undervalued
canada,10.35,1.42,2.2115384615384617,Overvalued
chile,11684.62,949.48,2496.7136752136757,Overvalued
colombia,14062.5,4092.07,3004.8076923076924,Undervalued
czech republic,165.0,23.99,35.256410256410255,Overvalued
finland,6.2,0.96,1.324786324786325,Overvalued
hungary,2190.0,383.64,467.94871794871796,Overvalued
italy,1.5,0.96,0.32051282051282054,Undervalued
mexico,92.41,20.26,19.745726495726498,Undervalued
poland,10.9,3.97,2.3290598290598292,Undervalued
south africa,48.0,18.4,10.256410256410257,Undervalued
united kingdom,3.36,0.79,0.717948717948718,Undervalued
united states,5.03,1.0,1.074786324786325,Overvalued
